City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Inirida,CO,2021-04-01 22:53:31,3.8653,-67.9239,76.03,93,100,1.45
154,Talnakh,RU,2021-04-01 22:53:31,69.4865,88.3972,-16.71,87,7,7.36
155,Marzuq,YE,2021-04-01 22:53:31,14.4,46.4667,68.14,24,18,4.65
156,Kearney,US,2021-04-01 22:53:32,40.6995,-99.0815,62.6,22,1,26.46
157,Mount Isa,AU,2021-04-01 22:53:32,-20.7333,139.5,78.8,34,0,13.8
158,Panama City,PA,2021-04-01 22:53:32,8.9936,-79.5197,87.8,66,20,16.11
159,Ostrovnoy,RU,2021-04-01 22:53:33,68.0531,39.5131,28.4,93,100,10.11
160,Pevek,RU,2021-04-01 22:53:33,69.7008,170.3133,-8.61,91,47,2.13
161,El Dorado,US,2021-04-01 22:53:33,38.7666,-120.5177,75.2,17,1,9.22
162,Tual,ID,2021-04-01 22:53:34,-5.6667,132.75,83.14,72,91,5.17
163,Mecca,SA,2021-04-01 22:53:34,21.4267,39.8261,73.74,42,13,7.27
164,East London,ZA,2021-04-01 22:53:35,-33.0153,27.9116,67.57,90,100,8.08
165,Gambo,CF,2021-04-01 22:53:35,4.6482,22.2633,69.03,94,100,2.53
166,Tucuman,AR,2021-04-01 22:50:05,-26.8241,-65.2226,69.8,83,90,4.61
167,Bilma,NE,2021-04-01 22:53:35,18.6853,12.9164,72.16,12,0,13.02
168,Coswig,DE,2021-04-01 22:53:36,51.1333,13.5833,46.0,81,75,12.66
169,Haines Junction,CA,2021-04-01 22:50:29,60.7522,-137.5108,26.6,54,100,14.97
170,Pochutla,MX,2021-04-01 22:53:36,15.7432,-96.4661,90.0,58,1,17.27
171,Dawei,MM,2021-04-01 22:53:36,14.0833,98.2,76.95,88,98,2.93
172,Hithadhoo,MV,2021-04-01 22:53:37,-0.6,73.0833,83.28,77,42,17.6
173,Pisco,PE,2021-04-01 22:49:55,-13.7,-76.2167,71.6,73,0,21.85
174,Bayonet Point,US,2021-04-01 22:53:37,28.3267,-82.6834,66.99,36,52,5.01
175,Provideniya,RU,2021-04-01 22:53:37,64.3833,-173.3,10.4,72,90,4.47
176,Tivaouane,SN,2021-04-01 22:53:37,14.9515,-16.8129,68.0,77,0,21.85
177,Vanavara,RU,2021-04-01 22:53:38,60.34,102.2797,1.81,98,96,3.15
178,Miraflores,MX,2021-04-01 22:50:30,19.2167,-98.8083,71.6,30,20,20.71
179,Kayes,ML,2021-04-01 22:53:38,14.0,-11.0,92.37,7,5,6.8
180,Cairns,AU,2021-04-01 22:51:48,-16.9167,145.7667,78.8,73,75,16.11
181,Launceston,AU,2021-04-01 22:53:39,-41.45,147.1667,57.2,88,90,6.91
