City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Araouane,ML,18.9048,-3.5265,100.99,4,3,1.01,clear sky
289,Samana,DO,19.2056,-69.3369,78.8,83,75,6.91,broken clouds
290,Norman Wells,CA,65.282,-126.8329,3.2,72,40,5.75,scattered clouds
291,Adiake,CI,5.2863,-3.304,89.6,70,20,12.66,few clouds
292,Guerrero Negro,MX,27.9769,-114.0611,63.73,71,2,12.8,clear sky
293,Quatre Cocos,MU,-20.2078,57.7625,81.0,78,20,8.05,few clouds
294,Hilo,US,19.7297,-155.09,68.0,83,75,4.61,broken clouds
295,Cherskiy,RU,68.75,161.3,-15.36,100,96,2.82,overcast clouds
296,Sambava,MG,-14.2667,50.1667,80.04,82,8,7.18,clear sky
297,Vila Velha,BR,-20.3297,-40.2925,80.6,74,20,14.97,few clouds
298,Shache,CN,38.4167,77.2406,51.3,41,10,7.23,clear sky
299,Andradina,BR,-20.8961,-51.3794,91.74,25,54,8.3,broken clouds
300,Hofn,IS,64.2539,-15.2082,18.07,56,56,24.52,broken clouds
301,Saint-Joseph,RE,-21.3667,55.6167,82.4,74,0,1.14,clear sky
302,Challans,FR,46.8436,-1.8749,61.0,44,0,9.22,clear sky
303,Roald,NO,62.5833,6.1333,33.8,86,75,20.71,snow
304,Bandundu,CD,-3.3167,17.3667,85.95,62,67,3.24,broken clouds
305,Hagerstown,US,39.6418,-77.72,63.0,33,1,4.61,clear sky
306,Iqaluit,CA,63.7506,-68.5145,10.4,72,20,5.75,few clouds
307,Chuy,UY,-33.6971,-53.4616,76.48,61,15,9.64,few clouds
308,Longjiang,CN,47.3303,123.1836,45.27,35,95,7.9,overcast clouds
309,Akyab,MM,20.15,92.9,79.88,79,0,1.88,clear sky
310,Ballina,AU,-28.8667,153.5667,68.0,94,75,6.91,broken clouds
311,Batsfjord,NO,70.6345,29.7185,32.0,93,75,29.93,snow
312,Beruwala,LK,6.4788,79.9828,80.26,77,14,5.59,few clouds
313,North Bend,US,43.4065,-124.2243,48.99,93,90,9.22,overcast clouds
314,Larap,PH,14.299,122.6504,77.04,83,6,7.85,clear sky
315,Asfi,MA,32.2994,-9.2372,64.69,68,0,18.52,clear sky
316,Sulangan,PH,11.1373,123.7228,82.17,72,53,17.85,broken clouds
317,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,88,40,16.11,scattered clouds
318,Almeria,ES,37.1667,-2.3333,71.6,53,40,11.5,scattered clouds
319,La Joya,MX,18.6667,-99.4667,80.01,30,1,4.27,clear sky
320,Nanortalik,GL,60.1432,-45.2371,37.09,79,94,11.39,overcast clouds
321,Labuhan,ID,-6.8844,112.2051,77.14,90,100,9.57,overcast clouds
322,Szubin,PL,53.0097,17.74,50.0,43,0,14.97,clear sky
323,Ponta Do Sol,PT,32.6667,-17.1,64.4,63,40,3.44,scattered clouds
324,Hatillo,PR,18.4863,-66.8254,86.0,74,1,8.05,clear sky
325,Laramie,US,41.3114,-105.5911,59.0,36,40,9.22,scattered clouds
326,Mount Isa,AU,-20.7333,139.5,73.4,60,16,6.91,few clouds
327,Mouila,GA,-1.8685,11.0559,79.63,89,99,2.89,moderate rain
328,Whitehorse,CA,60.7161,-135.0538,19.99,73,75,14.97,broken clouds
329,Havoysund,NO,70.9963,24.6622,30.2,86,75,9.22,light snow
330,Viedma,AR,-40.8135,-62.9967,84.4,32,4,18.1,clear sky
331,Nome,US,64.5011,-165.4064,1.4,71,20,23.02,snow
332,Seydi,TM,39.4816,62.9137,55.53,39,26,15.3,scattered clouds
333,Auki,SB,-8.7676,160.7034,78.3,87,93,2.84,overcast clouds
334,Husavik,IS,66.0449,-17.3389,14.0,92,90,28.77,snow
335,San Jeronimo,PE,-11.9472,-75.2829,56.79,63,96,2.33,overcast clouds
336,Ancud,CL,-41.8697,-73.8203,64.99,62,0,3.44,clear sky
337,Provideniya,RU,64.3833,-173.3,-5.64,88,34,8.12,scattered clouds
338,Rabo De Peixe,PT,37.8,-25.5833,59.0,88,40,16.11,scattered clouds
339,Mitu,CO,1.1983,-70.1733,74.44,94,100,2.8,overcast clouds
340,Nara,JP,34.6851,135.8049,55.99,74,100,6.91,overcast clouds
341,Coripata,BO,-16.3,-67.6,50.0,66,75,4.61,broken clouds
342,Khasan,RU,42.4308,130.6434,39.34,58,0,5.08,clear sky
343,Luderitz,NA,-26.6481,15.1594,77.43,55,1,24.83,clear sky
344,Yaan,NG,7.3833,8.5667,100.45,21,85,4.21,overcast clouds
345,Clyde River,CA,70.4692,-68.5914,-13.0,84,1,4.61,clear sky
346,Izhma,RU,65.0083,53.9113,22.73,93,69,2.04,broken clouds
347,Bathsheba,BB,13.2167,-59.5167,84.2,54,40,18.41,scattered clouds
348,Bandarbeyla,SO,9.4942,50.8122,80.69,74,23,9.86,few clouds
